#,Name,Classification,Released games,Unreleased games,Total revenue,Avg revenue per game,HQ country,% developed in-house,% indie releases,Action,Casual,Adventure,Simulation,Strategy,RPG,MMO,Racing,Sports
96,ARC SYSTEM WORKS,Indie,40,2,$172.4m,$4.3m,Japan,0.62,0.05,0.76,0.07,0.17,0.1,0.07,0.1,0,0.02,0.05
97,The Fun Pimps,Indie,1,0,$171.2m,$171.2m,N/A,0,1,1,0,1,1,1,1,0,0,0
98,Coffee Stain Studios,Indie,5,0,$170.9m,$34.2m,Sweden,0,1,0.4,0.6,0.2,0.4,0.8,0,0,0,0
99,Unknown Worlds Entertainment,AA,5,2,$170.6m,$34.1m,United States,0.71,0.86,0.43,0.14,0.29,0,0.43,0,0,0,0
100,Rocksteady Studios,Indie,5,0,$167.7m,$33.5m,United Kingdom,0,0,0.8,0,1,0,0,0,0,0,0
101,Torn Banner Studios,Indie,5,0,$166m,$33.2m,Canada,0.6,0.6,1,0,0,0,0,0,0.2,0,0
102,Crytek,AA,14,0,$165m,$11.8m,Germany,0.71,0,0.71,0,0.21,0.14,0.07,0,0,0,0
103,NetherRealm Studios,Indie,7,0,$164.7m,$23.5m,N/A,0,0,1,0,0,0,0,0,0,0,0
104,Iron Gate AB,Indie,1,0,$163.2m,$163.2m,Sweden,0,1,1,0,1,0,0,1,0,0,0
105,Re-Logic,Indie,1,0,$160.6m,$160.6m,United States,1,1,1,0,1,0,0,1,0,0,0
106,SkyBox Labs,Indie,5,0,$154.3m,$30.9m,Canada,0.4,0.4,0,0,0.2,0.4,0.8,0,0,0,0
107,Offworld Industries,AA,3,1,$154.3m,$51.4m,Canada,1,1,1,0.25,0,0,0.5,0,0.25,0,0
108,Machine Games,Indie,12,0,$149.1m,$12.4m,N/A,0,0,1,0,0,0,0,0,0,0,0
109,Daybreak Game Company,AA,6,0,$146m,$24.3m,United States,1,0,0.5,0,0.5,0,0,0.17,1,0,0
110,"CyberConnect2 Co., Ltd.",Indie,7,1,$143.8m,$20.5m,Japan,0,0,1,0,0.75,0,0.13,0.13,0,0,0
111,Insomniac Games,Indie,6,0,$143.2m,$23.9m,United States,0.17,0.17,0.83,0.33,0.83,0,0,0,0,0,0
